mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_sampler,param_svd,param_tfidf__max_features,param_tfidf__ngram_range,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.2628733317057292,0.02534555379087632,0.027056217193603516,0.0011947755351905938,0.5,passthrough,passthrough,20000,"(1, 1)",,"{'clf__C': 0.5, 'sampler': 'passthrough', 'svd': 'passthrough', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 1)}",0.3530163804643609,0.3474773838172931,0.3445476349684403,0.34834713308336474,0.0035116245440956957,23
1.79997722307841,0.11134533687510378,0.05853573481241862,0.009332868901970699,0.5,passthrough,passthrough,20000,"(1, 2)",,"{'clf__C': 0.5, 'sampler': 'passthrough', 'svd': 'passthrough', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 2)}",0.3575222217791314,0.3715750865240462,0.36253454950177766,0.36387728593498503,0.005815092875814008,21
0.3964695930480957,0.042596608599113184,0.030793190002441406,0.001962848841084583,0.5,passthrough,passthrough,30000,"(1, 1)",,"{'clf__C': 0.5, 'sampler': 'passthrough', 'svd': 'passthrough', 'tfidf__max_features': 30000, 'tfidf__ngram_range': (1, 1)}",0.3530163804643609,0.3474773838172931,0.3445476349684403,0.34834713308336474,0.0035116245440956957,23
1.9531358083089192,0.09460786231675722,0.05137348175048828,0.004457601293905585,0.5,passthrough,passthrough,30000,"(1, 2)",,"{'clf__C': 0.5, 'sampler': 'passthrough', 'svd': 'passthrough', 'tfidf__max_features': 30000, 'tfidf__ngram_range': (1, 2)}",0.3575222217791314,0.3715750865240462,0.36253454950177766,0.36387728593498503,0.005815092875814008,21
0.6895171801249186,0.0950002142019266,0.03334760665893555,0.003504026174304108,1.0,passthrough,passthrough,20000,"(1, 1)",,"{'clf__C': 1.0, 'sampler': 'passthrough', 'svd': 'passthrough', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 1)}",0.40208381968277995,0.4274569493605418,0.42044479384424666,0.41666185429585617,0.010698345701749485,19
2.8195696671803794,0.595866383670082,0.06674599647521973,0.0141600550726809,1.0,passthrough,passthrough,20000,"(1, 2)",,"{'clf__C': 1.0, 'sampler': 'passthrough', 'svd': 'passthrough', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 2)}",0.4200047018937495,0.43068613870595146,0.4228004922357082,0.42449711094513637,0.0045226953156388295,17
0.6315077940622965,0.03627480366303906,0.03331422805786133,0.0052217377025838285,1.0,passthrough,passthrough,30000,"(1, 1)",,"{'clf__C': 1.0, 'sampler': 'passthrough', 'svd': 'passthrough', 'tfidf__max_features': 30000, 'tfidf__ngram_range': (1, 1)}",0.40208381968277995,0.4274569493605418,0.42044479384424666,0.41666185429585617,0.010698345701749485,19
2.9184683163960776,0.5115086687717207,0.07971986134847005,0.03155608679152473,1.0,passthrough,passthrough,30000,"(1, 2)",,"{'clf__C': 1.0, 'sampler': 'passthrough', 'svd': 'passthrough', 'tfidf__max_features': 30000, 'tfidf__ngram_range': (1, 2)}",0.4200047018937495,0.43068613870595146,0.4228004922357082,0.42449711094513637,0.0045226953156388295,17
0.9528038501739502,0.12527004204023343,0.03486776351928711,0.008728823688084203,2.0,passthrough,passthrough,20000,"(1, 1)",,"{'clf__C': 2.0, 'sampler': 'passthrough', 'svd': 'passthrough', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 1)}",0.4832927674240943,0.45549839354385996,0.3959671496673312,0.44491943687842844,0.036426882218556514,9
4.015679597854614,0.447317334657909,0.05660311381022135,0.00903764157029423,2.0,passthrough,passthrough,20000,"(1, 2)",,"{'clf__C': 2.0, 'sampler': 'passthrough', 'svd': 'passthrough', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 2)}",0.49596412864188066,0.4965521550552871,0.4379537921254536,0.4768233586075404,0.027485982398848852,3
0.9638001918792725,0.03615879906529877,0.03781398137410482,0.009418974082879901,2.0,passthrough,passthrough,30000,"(1, 1)",,"{'clf__C': 2.0, 'sampler': 'passthrough', 'svd': 'passthrough', 'tfidf__max_features': 30000, 'tfidf__ngram_range': (1, 1)}",0.4832927674240943,0.45549839354385996,0.3959671496673312,0.44491943687842844,0.036426882218556514,9
3.7353127002716064,0.43948758462977794,0.0494990348815918,0.002557342451300634,2.0,passthrough,passthrough,30000,"(1, 2)",,"{'clf__C': 2.0, 'sampler': 'passthrough', 'svd': 'passthrough', 'tfidf__max_features': 30000, 'tfidf__ngram_range': (1, 2)}",0.49596412864188066,0.4965521550552871,0.4379537921254536,0.4768233586075404,0.027485982398848852,3
4.066997369130452,0.48410112076981354,0.02449973424275716,0.003950568744359457,0.5,RandomOverSampler(random_state=42),passthrough,20000,"(1, 1)",,"{'clf__C': 0.5, 'sampler': RandomOverSampler(random_state=42), 'svd': 'passthrough', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 1)}",0.5318136207425431,0.4817713977768698,0.4284293512514555,0.4806714565902894,0.042213617056679004,1
8.02892247835795,0.7981324411549489,0.04318793614705404,0.007954372022123804,0.5,RandomOverSampler(random_state=42),passthrough,20000,"(1, 2)",,"{'clf__C': 0.5, 'sampler': RandomOverSampler(random_state=42), 'svd': 'passthrough', 'tfidf__max_features': 20000, 'tfidf__ngram_range': (1, 2)}",0.4816694225741693,0.44983820807885516,0.40154971234097725,0.44435244766466725,0.03293794334253499,11
