mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__C,param_clf__solver,param_sampler,param_tfidf__max_features,param_tfidf__min_df,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.5270699659983317,0.06225063544369707,0.06416972478230794,0.003627718483375214,"LogisticRegression(class_weight='balanced', max_iter=2000)",2.0,lbfgs,RandomOverSampler(random_state=42),30000,2,"(1, 2)","{'clf': LogisticRegression(class_weight='balanced', max_iter=2000), 'clf__C': 2.0, 'clf__solver': 'lbfgs', 'sampler': RandomOverSampler(random_state=42), 'tfidf__max_features': 30000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.8125786103713656,0.853729481054181,0.8447623070266045,0.837023466150717,0.01766853668842215,8
0.3712446689605713,0.019716763372992132,0.07147574424743652,0.009219656337094491,"LogisticRegression(class_weight='balanced', max_iter=2000)",2.0,lbfgs,RandomOverSampler(random_state=42),30000,5,"(1, 2)","{'clf': LogisticRegression(class_weight='balanced', max_iter=2000), 'clf__C': 2.0, 'clf__solver': 'lbfgs', 'sampler': RandomOverSampler(random_state=42), 'tfidf__max_features': 30000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",0.8000152506082979,0.824610344748785,0.8285868537449563,0.8177374830340131,0.01263622563802078,18
0.23042583465576172,0.0028829127464503525,0.06531087557474773,0.0017379225662920745,LinearSVC(),0.5,,passthrough,30000,2,"(1, 2)","{'clf': LinearSVC(), 'clf__C': 0.5, 'sampler': 'passthrough', 'tfidf__max_features': 30000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.8237646066070278,0.8650755208434858,0.8314617546235172,0.8401006273580102,0.017937307496854585,4
0.251328706741333,0.025277384461328354,0.10432298978169759,0.007485021340649473,LinearSVC(),0.5,,passthrough,30000,5,"(1, 2)","{'clf': LinearSVC(), 'clf__C': 0.5, 'sampler': 'passthrough', 'tfidf__max_features': 30000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",0.8099486130107331,0.8338402199763341,0.8212775762169832,0.8216888030680168,0.0097580411795246,16
0.34081308046976727,0.011146314688519223,0.054068962732950844,0.0037170798745292124,LinearSVC(),0.5,,RandomOverSampler(random_state=42),30000,2,"(1, 2)","{'clf': LinearSVC(), 'clf__C': 0.5, 'sampler': RandomOverSampler(random_state=42), 'tfidf__max_features': 30000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.8208678694048196,0.8652616455137986,0.8342182174652589,0.8401159107946258,0.018597292441983434,3
0.2741364638010661,0.03495739507163297,0.05004350344340006,0.0007897638694760914,LinearSVC(),0.5,,RandomOverSampler(random_state=42),30000,5,"(1, 2)","{'clf': LinearSVC(), 'clf__C': 0.5, 'sampler': RandomOverSampler(random_state=42), 'tfidf__max_features': 30000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",0.8099486130107331,0.8362644624005766,0.8231546907499826,0.8231225887204308,0.010743424506256786,15
0.21472589174906412,0.0038553922827813266,0.05639115969340006,0.004574860379641775,LinearSVC(),1.0,,passthrough,30000,2,"(1, 2)","{'clf': LinearSVC(), 'clf__C': 1.0, 'sampler': 'passthrough', 'tfidf__max_features': 30000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.8270317659344688,0.857910778145087,0.8343633477893145,0.8397686306229568,0.013172981455986015,6
0.18754108746846518,0.0017243636695127907,0.05200378100077311,0.003633223662177715,LinearSVC(),1.0,,passthrough,30000,5,"(1, 2)","{'clf': LinearSVC(), 'clf__C': 1.0, 'sampler': 'passthrough', 'tfidf__max_features': 30000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",0.8109735559924658,0.8411166201943244,0.8291560835680655,0.827082086584952,0.012392932864710063,10
0.22640617688496908,0.006155307409986988,0.05082988739013672,0.0004396926441833182,LinearSVC(),1.0,,RandomOverSampler(random_state=42),30000,2,"(1, 2)","{'clf': LinearSVC(), 'clf__C': 1.0, 'sampler': RandomOverSampler(random_state=42), 'tfidf__max_features': 30000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.8270317659344688,0.8580309232357262,0.8343633477893145,0.8398086789865031,0.013228143287005705,5
0.19078715642293295,0.0035068808384108494,0.05138587951660156,0.004746438657580109,LinearSVC(),1.0,,RandomOverSampler(random_state=42),30000,5,"(1, 2)","{'clf': LinearSVC(), 'clf__C': 1.0, 'sampler': RandomOverSampler(random_state=42), 'tfidf__max_features': 30000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",0.8109804066944507,0.8383158060733622,0.8267649168170335,0.8253537098616155,0.011204155288832616,12
0.22073753674825033,0.006079777904732279,0.05750298500061035,0.0010239614354815778,LinearSVC(),2.0,,passthrough,30000,2,"(1, 2)","{'clf': LinearSVC(), 'clf__C': 2.0, 'sampler': 'passthrough', 'tfidf__max_features': 30000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.8324100015022975,0.8639289541560925,0.8342093503310638,0.8435161019964846,0.014452746313864881,1
0.1910097599029541,0.003479594712179,0.05320294698079427,0.0032732188307121116,LinearSVC(),2.0,,passthrough,30000,5,"(1, 2)","{'clf': LinearSVC(), 'clf__C': 2.0, 'sampler': 'passthrough', 'tfidf__max_features': 30000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",0.8052700626293784,0.841501729435771,0.8280684079611587,0.8249467333421027,0.014955312527945956,13
0.24704710642496744,0.001719248550292098,0.07014060020446777,0.005442993367361135,LinearSVC(),2.0,,RandomOverSampler(random_state=42),30000,2,"(1, 2)","{'clf': LinearSVC(), 'clf__C': 2.0, 'sampler': RandomOverSampler(random_state=42), 'tfidf__max_features': 30000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.8298469215115006,0.8639289541560925,0.8342093503310638,0.8426617419995522,0.015143280819886352,2
0.22898332277933756,0.015615714392660988,0.06755765279134114,0.010969535691202244,LinearSVC(),2.0,,RandomOverSampler(random_state=42),30000,5,"(1, 2)","{'clf': LinearSVC(), 'clf__C': 2.0, 'sampler': RandomOverSampler(random_state=42), 'tfidf__max_features': 30000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",0.8055567141501776,0.8362448122139414,0.8280684079611587,0.8232899781084259,0.012976000528820171,14
